"Возможно ли протестировать Вашу систему CRM, есть ли демо-версия?",Для получения тестового доступа к системе CRM на 15 дней необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html
"В CRM присутствует ли опция ""отписаться от рассылки""?","В SalesPlatform Vtiger CRM нет опции ""отписаться от рассылки"", но возможна соответствующая доработка."
"Какова стоимость услуги использования CRM на Вашем сервере, в облачном режиме? ","Стоимость услуги использования Vtiger CRM в режиме SaaS 500 р. / мес. на одного пользователя, при оплате за год - 5000 р. (416 р. / мес.)."
Возможно ли в системе CRM одному пользователю использовать нескольких почтовых ящиков одновременно?,В CRM-системе пользователь одновременно не может использовать нескольких почтовых ящиков.
Возможна ли интеграция CRM-системы с внешними почтовыми клиентами или другими платформами?,"Интеграция CRM-системы с другими платформами и сервисами возможная, SalesPlatform Vtiger CRM имеет открытый API."
"Какова стоимость и сроки услуг интеграции Vtiger CRM с внешними системами, платформами?","Стоимость и сроки услуг интеграции Vtiger CRM с внешними системами, платформами рассчитываются аналитиком после заключения договора. Данные услуги предоставляются на почасовой основе, стоимость сервисного часа - от 1 490 р."
Как протестировать работу модуля Воронка продаж?,"Для того, чтобы протестировать работу модуля ""Воронки"" необходимо перейти по ссылке: http://vm1.salesplatform.ru/extensions/AdvancedFunnel/  введите логин и пароль: demo/demo"
Как протестировать работу модуля Показатели KPI?,"Для того, чтобы протестировать работу модуля ""Показатели"" KPI необходимо перейти по ссылке: http://vm1.salesplatform.ru/extensions/AdvancedKPI/ Введите логин и пароль: demo/demo"
"Может ли администратор иметь доступ ко всем почтовым ящикам сотрудников, подключенных к Vtiger CRM?","Администратор не имеет доступа к почтовым ящикам сотрудников, подключенных к SalesPlatform Vtiger CRM."
Можно ли будет воспользоваться демо-версией Vtiger CRM после истечения ее срока использования? ,При необходимости доступ к демо-версии SalesPlatform Vtiger CRM может быть продлен.
Где можно скачать последнюю версию Vtiger CRM?,Последнюю версию SalesPlatform Vtiger CRM Вы можете загрузить по ссылке: http://community.salesplatform.ru/download/ 
Как часто выходят обновления Vtiger CRM?,Пакеты обновлений для SalesPlatform Vtiger CRM выходят примено раз в две-три недели.
Какой необходимо использовать Астериск Asterisk коннектор для Vtiger CRM?,Для интеграции SalesPlatform Vtiger CRM с телефонией на базе Asterisk необходимо использовать коннектор от SalesPlatform последней версии.
CRM для агентства недвижимости это Ваша разработка?  ,"Мы предлагаем решение для агентств недвижимости на базе SalesPlatform Vtiger CRM. Стоимость внедрения зависит от количества требований, минимально возможный вариант - тариф ""30"" http://salesplatform.ru/tarifs/66-tarifssupport.html"
Какова стоимость Vtiger CRM для агенства недвижимости?,"Стоимость SalesPlatform Vtiger CRM для агенства недвижимости зависит от количества требований, минимально возможный вариант - тариф ""30"" http://salesplatform.ru/tarifs/66-tarifssupport.html"
Какие параметры нагрузки на сервер?,"Параметры нагрузки на сервер зависят от количества пользователей. До 20 пользователей нужен стандартный (возможно, виртуальный) сервер минимум с 2 Гб оперативной памяти (рекомендуется 4Гб), жесткий диск - от 20 Гб. Процессор минимум 2 ядра x 2ГГц (рекомендуется 4 ядра x 3ГГц). На сервере должна быть предварительно установлена ОС Linux (рекомендуем Debian)."
Как можно протестировать телефонию в Vtiger CRM?,Для тестирования телефонии в SalesPlatform Vtiger CRM необходимо заполнить форму на странице: http://salesplatform.ru/solutions/62-servicescrmasterisk.html и Вы получите доступ к демо-версии Vtiger CRM + IP телефония на 15 дней.
Возможно ли подключить платежную систему PayPal Робокасса к Vtiger CRM?,"К платежным системам подключают Клиентский портал (личный кабинет для клиентов), который интегрируется с SalesPlatform Vtiger CRM. Мы реализуем такие интеграции."
"Возможно ли всю первичную документацию привести к нормальному виду, корректировать?","Для корректировки первичной документации необходимо воспользоваться модулем ""Шаблоны PDF""."
С кем можно обcудить вопрос о доработке Vtiger CRM?,"Вопрос о доработке SalesPlatform Vtiger CRM можно обсудить, связавшись с нами по телефонам: (495) 204-36-51, (812) 244-71-51 или E-mail: sales@salesplatform.ru"
Сколько стоит час работы Вашего специалиста?,Час работы специалиста стоит от 1 490 руб. Более подробная информация по ссылке: http://salesplatform.ru/tarifs/66-tarifssupport.html
Как настроить cron?,Для настройки cron необходимо воспользоваться инструкцией: http://community.salesplatform.ru/documentation/ 
Инструкция по настройке cron подходит для Windows?,Инструкция по настройке cron для Windows не подходит.
Надо ли настраивать Планировщик в Salesplatform Vtiger CRM?,Планировщик в SalesPlatform Vtiger CRM работает только при правильной настройке cron. Включать и выключать задачи Планировщика можно в настройках системы.
При размещении Vtiger CRM на Вашем сервере сопровождение CRM-системы входит в тариф?,При размещении SalesPlatform Vtiger CRM на нашем сервере сопровождение CRM-системы не входит в предложенный тариф.
Сколько необходимо серверов для Vtiger CRM c IP телефонией?,Решение SalesPlatform Vtiger CRM c IP телефонией может размещаться на одном сервере.
Возможно ли подключить свой телефон при использовании тестового доступа к CRM-системе?,При использовании тестового доступа к CRM-системе подключить свой телефон Вы не сможете. Можно сделать тестовые звонки через нашу телефонию на свой телефон.
Почему установка коробочного решения Vtiger CRM c IP телефонией стоит 53 700 р.?,"В стоимость установки коробочного решения SalesPlatform Vtiger CRM c IP телефонией - 53 700 р. входят услуги настройки и установки, а не стоимость ПО. Если Вы приобретаете решение на сервере компании ИТ-Град, стоимость будет ниже - 24 900 р."
"У Вас есть партнеры в Казахстане, Украине, Чехии, Белоруссии, Молдавии?","Наша компания работает как с российскими заказчиками, так и заказчиками из стран СНГ, зарубежья. Мы успешно осуществляем удаленную работу."
"Не могу зайти в демо-версию Vtiger CRM, выдает ошибку.","Если Вы не можете зайти в демо-версию SalesPlatform Vtiger CRM, то необходимо проверить правильность введенных данных логина и пароля, попробуйте ввести логин/пароль вручную, а не копируя текст из письма."
Где можно скачать программу для android (iOS) на планшет.,"Загрузить мобильное приложение для Android / iOS можно из Google Play / Apple Store. Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом от SalesPlatform. Также можно использовать web-интерфейс CRM-системы из браузера на смартфоне или планшете."
Система Vtiger CRM подойдет для call-центра (колл-центра)?,"Система SalesPlatform Vtiger CRM подойдет для call-центра, можем предложить наше решение: http://salesplatform.ru/solutions/62-servicescrmasterisk.html"
Возможно ли установить Vtiger CRM на нашу виртуальную машину?,"Установка SalesPlatform Vtiger CRM возможна на виртуальный сервер. До 20 пользователей нужен сервер минимум с 2 Гб оперативной памяти (рекомендуется 4Гб), жесткий диск - от 20 Гб. Процессор минимум 2 ядра x 2ГГц (рекомендуется 4 ядра x 3ГГц). На сервере должна быть предварительно установлена ОС Linux (рекомендуем Debian)."
Сколько стоит интеграция с 1С?,"Стоимость интеграции SalesPlatform Vtiger CRM с 1С зависит от количества типов и направлений синхронизируемых документов. За каждый тип документа с учетом направления передачи информации (1С->CRM или CRM->1C) - по 10 сервисных часов (с/ч). Например, синхронизация контрагентов и номенклатуры товаров из 1С в CRM, и счетов из CRM в 1С будет стоить 30 с/ч."
Можно ли установить свое ПО и хранить информацию на Ваших виртуальных серверах?,"Для установки своего ПО и хранения информации на виртуальных серверах Вы можете воспользоваться услугами нашего партнера компании ""ИТ-Град"". "
Какова стоимость решения для интернет-магазина?,"Стоимость решения по интеграции CRM и интернет-магазина зависит от объема работ и определяется по результатам работы нашего аналитика по сбору требований и формированию ТЗ. Минимально возможный вариант - тариф ""60"" http://salesplatform.ru/tarifs/66-tarifssupport.html"
Vtiger CRM можно пользоваться свободно?,"Системой SalesPlatofrm Vtiger CRM можно пользоваться свободно, так как она распространяется по свободной лицензии, Вы можете загрузить и использовать SalesPlatofrm Vtiger CRM бесплатно."
С кем можно обсудить вопросы о работе CRM-системы?,"Вопросы о работе SalesPlatform Vtiger CRM можно обсудить, связавшись с нами по телефонам: (495) 204-36-51, (812) 244-71-51 или E-mail: sales@salesplatform.ru"
Как открыть страницу входа в демо demo версию Vtiger CRM?,"Для доступа к демо-версии SalesPlatform Vtiger CRM Вам необходимо заполнить форму http://salesplatform.ru/getdemo.html , далее перейти по ссылке указанной в письме, далее ввести логин и пароль."
CRM-система должна обязательно лежать в дериктории /var/www/?,"CRM-система на сервере не обязательно должна размещаться в директории /var/www/, Ваш системный администратор может любую директорию."
"При установке Vtiger CRM возникла проблема, ошибка, Вы могли бы помочь?","Если у Вас при установке SalesPlatform Vtiger CRM возникли проблемы, Вы можете приобрести услуги технической поддержки и сопровождения, или воспользоваться помощью сообщества: http://community.salesplatform.ru/forums/"
Когда с Вами можно обсудить вопрос на тему заказа услуг?,"Вы можете связаться с нами по телефонам: (495) 204-36-51, (812) 244-71-51 или E-mail: sales@salesplatform.ru"
Каким образом можно протестировать вашу CRM-систему?,"Для того, чтобы протестировать нашу CRM-систему Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней."
